language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=73.64 s (20.2 files/s, 7683.0 lines/s)"
C++,.\Engine\Dependencies\Vendor\glm\gtc\noise.inl,99,126,582
C/C++ Header,.\Engine\Serializer\SerializeManager.h,69,84,574
C/C++ Header,.\Engine\ECS\Systems\Physics\Broadphase.h,190,127,553
C++,.\Engine\Dependencies\Gizmo\ImSequencer.cpp,76,64,552
C/C++ Header,.\Engine\Dependencies\Vendor\glm\gtc\type_aligned.hpp,384,384,547
C/C++ Header,.\Engine\Dependencies\Vendor\glm\simd\matrix.h,180,302,546
C++,.\Engine\Dependencies\Vendor\glm\detail\type_mat4x3.inl,56,9,533
C++,.\Engine\Dependencies\Vendor\glm\detail\type_mat3x3.inl,64,9,528
C++,.\Engine\Dependencies\Vendor\imgui\imgui_impl_opengl3.cpp,70,130,527
XML,.\Engine\Dependencies\Mono\etc\mono\mconfig\config.xml,61,30,525
C/C++ Header,.\Engine\Dependencies\Vendor\glm\gtc\type_precision.hpp,562,1018,514
C++,.\Engine\Dependencies\Vendor\glm\detail\type_mat3x4.inl,56,9,513
C/C++ Header,.\Engine\Dependencies\rapidjson\encodings.h,95,108,513
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\ftobjs.h,193,535,509
C++,.\Engine\Dependencies\Vendor\glm\detail\type_mat4x2.inl,56,9,509
C/C++ Header,.\Engine\Dependencies\rapidjson\writer.h,92,111,507
C++,.\Engine\Dependencies\Vendor\glm\ext\matrix_clip_space.inl,62,1,492
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\freetype.h,304,4043,486
C++,.\Engine\Dependencies\Vendor\glm\gtc\bitfield.inl,139,1,486
Python,.\Engine\Dependencies\Mono\lib\ironpython\Lib\iptest\assert_util.py,102,49,471
C++,.\Engine\Dependencies\Vendor\glm\detail\type_mat3x2.inl,56,9,467
C++,.\Engine\Dependencies\Vendor\glm\detail\type_mat2x2.inl,62,9,465
C++,.\Engine\Dependencies\Vendor\glm\detail\type_mat2x4.inl,56,9,455
C++,.\Engine\Dependencies\Vendor\glm\detail\type_vec1.inl,85,13,453
C++,.\Engine\Dependencies\Vendor\glm\detail\type_mat2x3.inl,56,9,445
C/C++ Header,.\Engine\Dependencies\fmod\include\fmod_dsp_effects.h,80,16,441
C++,.\Engine\Dependencies\Vendor\glm\gtx\string_cast.inl,64,1,427
C/C++ Header,.\Engine\Dependencies\fmod\include\fmod.hpp,94,103,411
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\row-indexes.h,69,13,410
Python,.\Engine\Dependencies\Mono\lib\ironpython\Lib\iptest\cominterop_util.py,167,130,403
C++,.\Engine\Dependencies\Vendor\imgui\imgui_impl_glfw_gl3.cpp,65,68,398
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\metadata.h,87,33,395
C++,.\Engine\WinMgr\WinMgr.cpp,75,72,395
C/C++ Header,.\Engine\Dependencies\fmod\include\fmod.h,111,163,394
C++,.\Engine\ECS\Systems\physicsSystem.cpp,68,94,387
C++,.\Engine\Dependencies\Gizmo\ImCurveEdit.cpp,49,33,375
XML,.\Engine\Dependencies\Mono\lib\ironruby\Microsoft.Scripting.Metadata.xml,0,0,373
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\tttypes.h,212,1199,369
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_vec4.hpp,100,36,369
C++,.\Engine\Dependencies\Vendor\glm\gtx\io.inl,71,2,367
XML,.\Engine\Engine.vcxproj,0,0,358
XSD,.\Engine\Dependencies\Mono\lib\mono\4.5\MSBuild\Microsoft.Build.Core.xsd,0,34,356
ASP.NET,.\Engine\Dependencies\Mono\lib\xsp\test\1.1\webcontrols\dbpage2.aspx,36,5,355
C++,.\Engine\Dependencies\Vendor\glm\detail\func_matrix.inl,51,0,347
Windows Module Definition,.\Engine\Dependencies\Mono\include\mono-2.0\mono\cil\opcode.def,2,0,345
C/C++ Header,.\Engine\Dependencies\Vendor\glm\simd\platform.h,34,21,343
C/C++ Header,.\Engine\Dependencies\fmod\include\fmod_dsp.h,46,26,342
C/C++ Header,.\Engine\Dependencies\Vendor\imgui\imstb_rectpack.h,75,224,340
C/C++ Header,.\Engine\Dependencies\Vendor\imgui\stb_rect_pack.h,73,212,338
C++,.\Engine\Dependencies\Vendor\glm\gtx\easing.inl,70,32,334
XML,.\Engine\Dependencies\Mono\share\mono-2.0\mono\cil\cil-opcodes.xml,0,0,328
XML,.\Engine\Dependencies\Mono\lib\mono\fsharp\Microsoft.FSharp.Targets,86,103,327
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\ftstream.h,134,116,322
C++,.\Engine\Dependencies\Vendor\glm\detail\type_quat.inl,58,29,321
C++,.\Engine\Dependencies\Vendor\glm\gtc\type_ptr.inl,62,4,320
C/C++ Header,.\Engine\Dependencies\rapidjson\rapidjson.h,105,273,314
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_vec3.hpp,95,24,313
C++,.\Engine\ECS\ECS.cpp,57,111,313
C++,.\Engine\Dependencies\Vendor\glm\gtx\associated_min_max.inl,25,19,310
C++,.\Engine\Dependencies\Vendor\glm\detail\func_integer.inl,53,11,308
JSON,.\Party_Pantry\Config\SavedLevels\AStarDemoLevel.json,0,0,288
C++,.\Engine\Dependencies\Vendor\glm\gtx\dual_quaternion.inl,54,12,286
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_vec2.hpp,93,21,285
